College Name,University Name,Management of College,State,Course Name,Year of Inspection,Annual Intake
"Government Medical College, Pali, Rajasthan",Rajasthan University of Health Sciences,Govt.,Rajasthan,MBBS,2018,100
"Jaipur National University Institute of Medical Sciences and Resarch Centre, Jagatpura, Jaipur",Jaipur National University (Private Univ.),Private,Rajasthan,MBBS,2016,150
"Jawaharlal Nehru Medical College, Ajmer",Rajasthan University,Govt.,Rajasthan,MBBS,1965,150
"Jhalawar Medical College, Jhalawar",Rajasthan University of Health Sciences,Govt.,Rajasthan,MBBS,2008,150
"Mahatma Gandhi Medical College and Hospital, Jaipur",Rajasthan University,Trust,Rajasthan,MBBS,2001,150
"National Institute of Medical Science & Research, Jaipur","NIMS University (Deemed), Jaipur",Trust,Rajasthan,MBBS,2004,100
"Pacific Institute of Medical Sciences, Umarda, Udaipur",Rajasthan University of Health Sciences,Society,Rajasthan,MBBS,2015,
"Pacific Medical College & Hospital, Bhilo Ka Bedla, Udaipur",Rajasthan University of Health Sciences,Trust,Rajasthan,MBBS,2014,
"R N T Medical College,  Udaipur",Rajasthan University,Govt.,Rajasthan,MBBS,1961,150
"RUHS College of Medical Sciences, Jaipur",Rajasthan University of Health Sciences,Govt.,Rajasthan,MBBS,2014,100
"Sardar Patel Medical College, Bikaner",Rajasthan University of Health Sciences,Govt.,Rajasthan,MBBS,1959,250
"SMS Medical College, Jaipur",Rajasthan University of Health Sciences,Govt.,Rajasthan,MBBS,1947,250
"Sikkim Manipal Institute of Medical Sciences, Gangtok","Sikkim Manipal Univ. of Health,Medical & Tech. Scs",Trust,Sikkim,MBBS,2000,100
"ACS Medical College and Hospital, Chennai","Dr. MGR Educational and Research Institute (Deemed University), Chennai",Trust,Tamil Nadu,MBBS,2008,150
"Annaii Medical College and Hospital, Pennalur, Kanchipuram","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2016,
"Annapoorna Medical College & Hospital, Salem","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2011,
"Chengalpattu Medical College, Chengalpattu","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1965,100
"Chettinad Hospital & Research Institute, Kanchipuram","Chettinad Academy of Research and Education (Deemed University), Chettinad",Trust,Tamil Nadu,MBBS,2006,150
"Christian Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,1942,100
"Coimbatore Medical College, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1966,150
"Dhanalakshmi Srinivasan Medical College and Hospital,Perambalur","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2011,150
"ESI-PGIMSR,ESI Hospital,K.K Nagar,Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2013,100
"Government Dharmapuri Medical College, Dharmapuri","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2008,100
"Government Medical College & ESIC Hospital, Coimbatore, TamilNadu","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2016,100
"Government Medical College, Omandurar","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2015,100
"Government Medical College, Pudukottai, Tamil Nadu","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2017,150
"Government Sivagangai Medical College, Sivaganga","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2012,100
"Government Thiruvannamalai Medical College, Thiruvannamalai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2013,100
"Government Vellore Medical College, Vellore","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2005,100
"Government Villupuram Medical College, Villupuram","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2010,100
"IRT Perundurai Medical College, Perundurai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1992,100
"KanyaKumari Government Medical College, Asaripallam","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2003,100
"K A P Viswanathan Government Medical College, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1998,150
"Karpagam Faculty of Medical Sciences & Research, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2012,150
"Karpaga Vinayaga Institute of Medical Sciences,Maduranthagam","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2009,100
"Kilpauk Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1960,150
"Madha Medical College and Hospital, Thandalam, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2011,
"Madras Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1835,250
"Madurai Medical College, Madurai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1954,150
"Meenakshi Medical College and Research Institute, Enathur","Meenakshi University (Deemed), Chennai",Trust,Tamil Nadu,MBBS,2003,150
Melmaruvathur Adiparasakthi Instt. Medical Sciences  and Research,"The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2008,150
"Mohan Kumaramangalam Medical College, Salem","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1986,100
"Ponnaiyah Ramajayam Institute of Medical Sciences, Manamai-Nellur","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2016,
"PSG Institute of Medical Sciences, Coimbatore","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,1985,150
"Rajah Muthiah Medical College, Annamalainagar",Annamalai University,Govt.,Tamil Nadu,MBBS,1985,150
"Saveetha Medical College and Hospital, Kanchipuram","Saveetha University (Deemed), Chennai",Trust,Tamil Nadu,MBBS,2008,150
"Shri Satya Sai Medical College and Research Institute, Kancheepuram","Sri Balaji Vidyapeeth (Deemed University), Pondicherry",Trust,Tamil Nadu,MBBS,2008,150
"Sree Balaji Medical College and Hospital, Chennai","Bharath University (Deemed), Chennai",Trust,Tamil Nadu,MBBS,2003,250
"Sree Mookambika Institute of Medical Sciences, Kanyakumari","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2006,100
"Sri Muthukumaran Medical College,Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2010,150
"Sri Ramachandra Medical College & Research Institute, Chennai","Sri Ramachandra University (Deemed), Chennai",Trust,Tamil Nadu,MBBS,1985,250
"SRM Medical College Hospital & Research Centre, Kancheepuram",SRM Institute  of Science & Technology,Trust,Tamil Nadu,MBBS,2005,150
"Stanley Medical College, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1838,250
"Tagore Medical College and Hospital, Chennai","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2010,150
"Thanjavur Medical College,Thanjavur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1959,150
"Theni Government Medical College,Theni","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2006,100
"Thiruvarur Govt. Medical College, Thiruvarur","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2010,100
"Thoothukudi Medical College, Thoothukudi","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,2000,150
"Tirunelveli Medical College,Tirunelveli","The Tamilnadu Dr. MGR Medical University,Chennai",Govt.,Tamil Nadu,MBBS,1965,150
"Trichy SRM Medical College Hospital & Research Centre, Trichy","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2009,150
"Velammal Medical College Hospital and Research Institute, Madurai","The Tamilnadu Dr. MGR Medical University,Chennai",Trust,Tamil Nadu,MBBS,2013,150
"Vinayaka Missions Kirupananda Variyar Medical College, Salem","Vinayaka Missions University (Deemed), Salem",Trust,Tamil Nadu,MBBS,1996,100
"Apollo Institute of Medical Sciences and Research, Hyderabad","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2012,100
"Bhaskar Medical College, Yenkapally","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2005,150
"Chalmeda Anand Rao Insttitute Of  Medical Sciences, Karimnagar","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2003,150
"Deccan College of Medical Sciences, Hyderabad","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,1985,150
"Dr. VRK Womens Medical College, Aziznagar","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2010,100
"Employees State Insurance Coporation Medical College, Sanath Nagar, Hyderabad","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,2016,100
"Gandhi Medical College, Secunderabad","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,1954,200
"Government Medical College, Mahabubnagar","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,Telangana,MBBS,2016,150
"Government Medical College, Nizamabad","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,2013,100
"Government Medical College, Siddipet","Kaloji Narayana Rao University of Health Sciences, Warangal",Govt.,Telangana,MBBS,2018,150
"Kakatiya Medical College, Wrangal","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,1959,200
"Kamineni Academy of Medical Sciences & Research Center, Hyderabad","NTR University of Health Sciences, VijayWada",Private,Telangana,MBBS,2013,150
"Kamineni Institute of Medical Sciences, Narketpally","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,1999,200
"Mahavir Institute of Medical Sciences, Vikarabad, Telengana","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2016,
"Maheshwara Medical College, Chitkul, Patancheru, Medak","NTR University of Health Sciences, VijayWada",Society,Telangana,MBBS,2016,
"Malla Reddy Institute of Medical Sciences, Hyderabad","NTR University of Health Sciences, VijayWada",Society,Telangana,MBBS,2012,
"Mallareddy Medical College for Womens, Hyderabad","NTR University of Health Sciences, VijayWada",Society,Telangana,MBBS,2013,
"Mamata Medical College, Khammam","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,1998,150
"Mediciti Institute Of Medical Sciences, Ghanpur","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2001,100
"MNR Medical College & Hospital, Sangareddy","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2002,100
"Osmania Medical College, Hyderabad","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,1946,250
"Prathima Institute Of Medical Sciences, Karimnagar","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2001,200
"Rajiv Gandhi Institute of Medical Sciences, adilabad","NTR University of Health Sciences, VijayWada",Govt.,Telangana,MBBS,2008,100
"R.V.M. Institute of Medical Sciences and Research Centre, Medak","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,2016,150
"Shadan Institute of Medical Sciences,Research Centre and Teaching Hospital, Peerancheru","NTR University of Health Sciences, VijayWada",Society,Telangana,MBBS,2005,150
"S V S Medical College, Mehboobnagar","NTR University of Health Sciences, VijayWada",Trust,Telangana,MBBS,1999,100
"Agartala Government Medical College,Agartala",Tripura University,Govt.,Tripura,MBBS,2005,100
"Tripura Medical College and Dr. B R A M Teaching Hospital, Agartala",Tripura University,Trust,Tripura,MBBS,2006,100
"All India Institute of Medical Sciences, Rishikesh","Statutory Autonomous, AIIMS",Govt.,Uttarakhand,MBBS,2012,100
"Doon Medical College, Dehradun, Uttarakhand",H. N. B Garhwal University,Govt.,Uttarakhand,MBBS,2016,150
"Government Medical College (Prev.Uttarakhand Forest Hospital Trust Med.Col.), Haldwani","Kumaon University, Nainital",Govt.,Uttarakhand,MBBS,2001,100
"Himalayan Institute of Medical Sciences, Dehradun","Swami Rama Himalayan University, Dehradun",Trust,Uttarakhand,MBBS,1995,100
"Shri Guru Ram Rai Institute of Medical & Health Sciences, Dehradun",H. N. B Garhwal University,Society,Uttarakhand,MBBS,2006,150
"Sridev Suman Subharti Medical College, Dehradun",Hemwati Nandan Bahuguna Uttarakhand Medical Education University,Trust,Uttarakhand,MBBS,2016,
"Veer Chandra Singh Garhwali Govt. Medical Sc. & Research Instt, Srinagar, Pauri Garhwal","Uttrakhand Technical University, Dehradun",Govt.,Uttarakhand,MBBS,2008,100
"BRD Medical College, Gorakhpur",Gorakhpur University,Govt.,Uttar Pradesh,MBBS,1972,100
"Career Instt. Of Medical Sciences & Hospital, Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,2011,100
"Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,2017,150
"Era Lucknow  Medical College , Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,1997,150
"F.H. Medical College & Hospital, Etamdapur, Firozabad","Dr B R Ambedkar University,Agra, U.P.",Trust,Uttar Pradesh,MBBS,2014,
"G.C.R.G. Institute of Medical Sciences, Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,2016,
"Glocal Medical College, Super Specialty Hospital & Research Center, Saharanpur","Glocal University, Saharanpur",Trust,Uttar Pradesh,MBBS,2016,
"Government Allopathic Medical College, Banda, UP","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,2016,100
"Government Medical College, Kannauj","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,2012,100
"Government Medical College & Super facility Hospital, Azamgarh","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,2013,100
"G.S. Medical College & Hospital, Hapur, UP","Ch. Charan Singh Universitiy, Meerut",Trust,Uttar Pradesh,MBBS,2018,
"GSVM Medical College, Kanpur","C.S.J.M. University, Kanpur",Govt.,Uttar Pradesh,MBBS,1955,190
"Heritage Institute of Medical Sciences, Varanasi","Mahatma Gandhi Kashi Vidyapith, Varanasi",Private,Uttar Pradesh,MBBS,2015,150
"Hind Institute of Medical Sciences , Barabanki","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,2009,100
"Hind Institute of Medical Sciences, Sitapur","King Georges Medical University,Lucknow",Trust,Uttar Pradesh,MBBS,2015,150
"Institute of Medical Sciences, BHU, Varansi",Banaras Hindu University,Govt.,Uttar Pradesh,MBBS,1960,84
"Integral Institute of Medical Sciences & Research, Lucknow","Integral University, Lucknow",Private,Uttar Pradesh,MBBS,2013,
"Jawaharlal Nehru Medical College, Aligarh",Aligarh Muslim University,Govt.,Uttar Pradesh,MBBS,1961,150
"K.D. Medical College Hospital & Research Centre, Mathura","Dr B R Ambedkar University,Agra, U.P.",Society,Uttar Pradesh,MBBS,2015,
"King George Medical University, Lucknow","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,1911,250
"Krishna Mohan Medical College & Hospital, Mathura","Dr B R Ambedkar University,Agra, U.P.",Society,Uttar Pradesh,MBBS,2016,
"LLRM Medical College, Meerut","Ch. Charan Singh Universitiy, Meerut",Govt.,Uttar Pradesh,MBBS,1966,150
"Mahamaya Rajkiya Allopathic Medical College, Ambedkarnagar","Dr. Ram Manohar Lohia Avadh University, Faizabad",Govt.,Uttar Pradesh,MBBS,2011,100
"Maharani Laxmi Bai Medical College, Jhansi",Bundelkhand University,Govt.,Uttar Pradesh,MBBS,1968,100
"Major S D Singh Medical College and Hospital, Fathehgarh, Farrukhabad","C.S.J.M. University, Kanpur",Trust,Uttar Pradesh,MBBS,2011,
Manyavar Kanshi Ram Ji Government Allopathic Medical College,"C.S.J.M. University, Kanpur",Govt.,Uttar Pradesh,MBBS,2013,100
"Mayo Institute of Medical Sciences, Barabanki","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,2012,
"Moti Lal Nehru Medical College, Allahabad","King Georges Medical University,Lucknow",Govt.,Uttar Pradesh,MBBS,1961,150
"Mulayam Singh Yadav Medical College & Hospital, Meerut, UP","Ch. Charan Singh Universitiy, Meerut",Society,Uttar Pradesh,MBBS,2018,150
"Muzaffarnagar Medical College, Muzaffarnagar","Ch. Charan Singh Universitiy, Meerut",Trust,Uttar Pradesh,MBBS,2006,150
"Prasad Institute of Medical Sciences, Lucknow","Dr. Ram Manohar Lohia Avadh University, Faizabad",Trust,Uttar Pradesh,MBBS,2016,
"Rajshree Medical Research Institute, Bareilly",M J P Rohilkhand University,Trust,Uttar Pradesh,MBBS,2014,150
"Rama Medical College and Hospital , Kanpur","Dr B R Ambedkar University,Agra, U.P.",Trust,Uttar Pradesh,MBBS,2008,100
"Rama Medical College Hospital and Research Centre, Hapur","Dr B R Ambedkar University,Agra, U.P.",Trust,Uttar Pradesh,MBBS,2011,150
"Rohilkhand Medical College & Hospital, Bareilly",M J P Rohilkhand University,Trust,Uttar Pradesh,MBBS,2006,150
"Santosh Medical College, Ghaziabad",Santosh University,Trust,Uttar Pradesh,MBBS,1996,100
"Saraswati Institute of Medical Sciences, Hapur","Ch. Charan Singh Universitiy, Meerut",Trust,Uttar Pradesh,MBBS,2008,100
"Saraswati Medical College, Unnao, U.P.","King Georges Medical University,Lucknow",Trust,Uttar Pradesh,MBBS,2016,
"School of Medical Sciences & Research,Greater Noida","Sharda University, Greater Noida",Trust,Uttar Pradesh,MBBS,2009,150
"Shaikh-UL-Hind Maulana Mahmood Hasan Medical College, Saharanpur","Ch. Charan Singh Universitiy, Meerut",Govt.,Uttar Pradesh,MBBS,2015,100
"Shri Ram Murti Smarak Institute of Medical Sciences, Bareilly",M J P Rohilkhand University,Trust,Uttar Pradesh,MBBS,2005,100
"S N Medical College, Agra","Dr B R Ambedkar University,Agra, U.P.",Govt.,Uttar Pradesh,MBBS,1939,150
"Subharti Medical College, Meerut","Swami Vivekanand Subharti University, Meerut",Trust,Uttar Pradesh,MBBS,1996,100
"Teerthanker Mahaveer Medical College, Moradabad","Teerthanker Mahaveer University, Moradabad",Trust,Uttar Pradesh,MBBS,2008,150
"T S Misra Medical College & Hospital, Amusi, Lucknow","Dr. Shakuntala Misra National Rehabilitation University, Lucknow",Private,Uttar Pradesh,MBBS,2016,150
"U.P. Rural Institute of Medical Sciences & Research, Etawah","C.S.J.M. University, Kanpur",Govt.,Uttar Pradesh,MBBS,2006,150
"Varun Arjun Medical College, Banthra, Shahjahanpur",Mahatma Jyotiba Phule Rohilkhand University,Trust,Uttar Pradesh,MBBS,2016,
"Venkateshwara Institute of Medical Sciences, Gajraula","Shri Venkateshwara University, Gajraula",Trust,Uttar Pradesh,MBBS,2016,
"Bankura Sammilani Medical College, Bankura","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1956,150
"Burdwan Medical College, Burdwan","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1969,150
"Calcutta National Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1948,200
"College of Medicine and JNM Hospital,Kalyani,Nadia","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2010,100
"College of Medicine and Sagore Dutta Hospital, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2011,100
"Employees State Insurance Corporation Medical College, Joka, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2013,100
"Gouri Devi Institute of Medical Sciences and Hospital, Durgapur","West Bengal University of Health Sciences,Kolkata",Society,West Bengal,MBBS,2016,
"ICARE Institute of Medical Sciences & Research, Haldia, Purba Midanpore","West Bengal University of Health Sciences,Kolkata",Trust,West Bengal,MBBS,2011,
"Institute of Postgraduate Medical Education & Research, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1957,150
"IQ-City Medical College, Burdwan","West Bengal University of Health Sciences,Kolkata",Trust,West Bengal,MBBS,2013,
"Jagannath Gupta Institute of Medical Sciences & Hospital, Kolkata","West Bengal University of Health Sciences,Kolkata",Trust,West Bengal,MBBS,2018,150
"KPC Medical College,Jadavpur,Kolkata","West Bengal University of Health Sciences,Kolkata",Trust,West Bengal,MBBS,2008,150
"Malda Medical College & Hospital, Malda","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2011,100
"Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1838,250
"Midnapore Medical College, Midnapore","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2001,150
"Murshidabad Medical College & Hospitals, Murshidabad","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,2012,100
"Nilratan Sircar Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1948,250
"North Bengal Medical College, Darjeeling","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1968,150
"RG Kar Medical College, Kolkata","West Bengal University of Health Sciences,Kolkata",Govt.,West Bengal,MBBS,1916,200